Description,Category,Address,Reviews
Pacific Beach Bar and Grill,#102 of 221 Nightlife in San Diego,"860 Garnet Ave One block from the beach, San Diego, CA 92109-2726",10 reviews
Bare Back Grill Pacific Beach,#20 of 221 Nightlife in San Diego,"4640 Mission Blvd, San Diego, CA 92109-2732",27 reviews
Thrusters Lounge,#168 of 221 Nightlife in San Diego,"4633 Mission Blvd, San Diego, CA 92109-2733",2 reviews
San Diego Sand Castles,#2 of 28 Classes & Workshops in San Diego,"4306 Ocean View Blvd, San Diego, CA 92113-1916",353 reviews
PB Ale House,#83 of 389 things to do in San Diego,"721 Grand Ave, San Diego, CA 92109-3905",128 reviews
Quicksand Escape Games,#3 of 89 Fun & Games in San Diego,"1001 Garnet Ave, San Diego, CA 92109-2834",342 reviews
Baja Winery Tours,#8 of 116 Food & Drink in San Diego,"4629 Cass St # 2, San Diego, CA 92109-2805",172 reviews
Ray's Rentals,#183 of 333 Outdoor Activities in San Diego,"4655 Mission Blvd, San Diego, CA 92109-2735",6 reviews
Segway of Pacific Beach,#19 of 346 Tours in San Diego,"4150 Mission Blvd Ste 141, San Diego, CA 92109-5053",204 reviews
Surf Monkey Bikes,#185 of 333 Outdoor Activities in San Diego,"853 Grand Ave, San Diego, CA 92109-3907",7 reviews
City Ballet,#55 of 58 Concerts & Shows in San Diego,"941 Garnet Ave, San Diego, CA 92109-2729",1 review
Johnny V San Diego,#124 of 221 Nightlife in San Diego,"945 Garnet Ave, San Diego, CA 92109-2729",2 reviews
Happy Head Foot Reflexology and Massage - Pacific Beach,#28 of 123 Spas & Wellness in San Diego,"953 Garnet Ave, San Diego, CA 92109-2729",3 reviews
Bad Axe Throwing,#15 of 89 Fun & Games in San Diego,"1019 Garnet Ave, San Diego, CA 92109-2834",46 reviews
San Diego Surf Lessons,#27 of 196 Boat Tours & Water Sports in San Diego,"4121 Mission Blvd Pacific Beach and mission beach, San Diego, CA 92109-5002",88 reviews
San Diego Surf School,#4 of 28 Classes & Workshops in San Diego,"4850 Cass St, San Diego, CA 92109-2623",229 reviews
Pacific Beach Bike Shop,#221 of 333 Outdoor Activities in San Diego,"4305 Mission Blvd Ste 101, San Diego, CA 92109-3910",2 reviews
Cass Street Bar and Grill,#36 of 221 Nightlife in San Diego,"4612 Cass St, San Diego, CA 92109-2804",18 reviews
Longevity Lounge,#12 of 123 Spas & Wellness in San Diego,"4747 Mission Blvd Suite 7, San Diego, CA 92109-2541",7 reviews
School of Healing Arts,#50 of 123 Spas & Wellness in San Diego,"1001 Garnet Ave Ste 200, San Diego, CA 92109-2850",3 reviews
Buffalo Exchange,#88 of 142 Shopping in San Diego,"1007 Garnet Ave Pacific Beach, San Diego, CA 92109-2834",3 reviews
The Promenade at Pacific Beach,#108 of 389 things to do in San Diego,"4110 Mission Blvd # 70, San Diego, CA 92109-5001",49 reviews
Beach House Bikes & Rentals,#214 of 333 Outdoor Activities in San Diego,"4629 Cass St Ste 202, San Diego, CA 92109-2805",3 reviews
Bub's at the Beach,#126 of 221 Nightlife in San Diego,"1030 Garnet Ave, San Diego, CA 92109-2833",2 reviews
Pacific Surf School,#2 of 196 Boat Tours & Water Sports in San Diego,"4121 Mission Blvd, San Diego, CA 92109-5028","1,156 reviews"
Mission Beach Surf school,#53 of 196 Boat Tours & Water Sports in San Diego,"4050 Mission Blvd, San Diego, CA 92109-5043",42 reviews
Sinbad Cafe,#157 of 221 Nightlife in San Diego,"1050 Garnet Ave, San Diego, CA 92109-2833",1 review
Jetpack America,#22 of 196 Boat Tours & Water Sports in San Diego,"1010 Santa Clara Pl, San Diego, CA 92109-7227",229 reviews
Mission Bay Sportcenter,#23 of 196 Boat Tours & Water Sports in San Diego,"1010 Santa Clara Pl, San Diego, CA 92109-7227",386 reviews
